family,task,metric,protocol,model,value,std,ci_low,ci_high,skill,skill_ci_low,skill_ci_high,n_runs,n,baseline,higher_is_better,unit
location,next_location,loc_nll,native,KinematicRef,5.243796772087819,,4.099786490703829,6.075561616313176,-0.9293893153050092,-2.1237760676471065,0.6106891735193116,1,59,markov1,False,nats
location,next_location,loc_nll,native,baseline:global_popular,5.21754344586918,,5.052575889732637,5.4804201250986955,,,,1,59,,False,nats
location,next_location,loc_nll,native,baseline:markov1,4.31440745678281,,2.9837845999123815,5.642001670347441,,,,1,59,,False,nats
location,next_location,loc_nll,native,baseline:user_frequent,4.503427154132065,,3.106489509446929,5.799252769933811,,,,1,59,,False,nats
location,next_location,median_dist_err_m,native,KinematicRef,7983.390954794244,,5419.988247140251,8972.297505526509,0.09341861773370042,-0.17138656571233962,0.42319041462199625,1,59,markov1,False,m
location,next_location,median_dist_err_m,native,WeakRef,8084.783435722587,,5150.91800467615,9295.768670064848,0.08190464628573746,-0.14278618186552453,0.4048293116549912,1,59,markov1,False,m
location,next_location,median_dist_err_m,native,baseline:global_popular,5966.195033175315,,4870.774310307287,7207.583207113678,,,,1,59,,False,m
location,next_location,median_dist_err_m,native,baseline:markov1,8806.03894030685,,7330.50440229795,9923.139434677641,,,,1,59,,False,m
location,next_location,median_dist_err_m,native,baseline:user_frequent,7877.848759124553,,5354.81257470193,9396.065094539228,,,,1,59,,False,m
location,next_location,mrr@20,native,KinematicRef,0.28220338983050847,,0.2093149717514124,0.4042867231638418,-0.1271148849882771,-0.2987238990054105,0.06911778266966583,1,59,markov1,True,fraction
location,next_location,mrr@20,native,baseline:global_popular,0.052044236366270265,,0.014116227463685089,0.10708235385142165,,,,1,59,,True,fraction
location,next_location,mrr@20,native,baseline:markov1,0.36315577078288946,,0.27728107344632774,0.45276029055690076,,,,1,59,,True,fraction
location,next_location,mrr@20,native,baseline:user_frequent,0.3584745762711864,,0.2897175141242938,0.42822740112994345,,,,1,59,,True,fraction
